2014-11-25 03:34:52 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu25
2014-11-25 03:34:52 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu25
2014-11-25 03:34:52 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2014-11-25 03:34:52 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu25
2014-11-25 03:34:52 install libnih1:amd64 <none> 1.0.3-4ubuntu25
2014-11-25 03:34:52 status half-installed libnih1:amd64 1.0.3-4ubuntu25
2014-11-25 03:34:52 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2014-11-25 03:34:52 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2014-11-25 03:34:52 install libpam-modules:amd64 <none> 1.1.8-1ubuntu2
2014-11-25 03:34:52 status half-installed libpam-modules:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:53 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:53 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:53 install libpam-modules-bin:amd64 <none> 1.1.8-1ubuntu2
2014-11-25 03:34:53 status half-installed libpam-modules-bin:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:53 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:53 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:53 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2014-11-25 03:34:53 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2014-11-25 03:34:53 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-11-25 03:34:53 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-11-25 03:34:54 install libpam0g:amd64 <none> 1.1.8-1ubuntu2
2014-11-25 03:34:54 status half-installed libpam0g:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:54 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:54 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2014-11-25 03:34:54 install libpcre3:amd64 <none> 1:8.31-2ubuntu2
2014-11-25 03:34:54 status half-installed libpcre3:amd64 1:8.31-2ubuntu2
2014-11-25 03:34:54 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2014-11-25 03:34:54 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2014-11-25 03:34:54 install libplymouth2:amd64 <none> 0.8.8-0ubuntu17
2014-11-25 03:34:54 status half-installed libplymouth2:amd64 0.8.8-0ubuntu17
2014-11-25 03:34:55 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2014-11-25 03:34:55 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2014-11-25 03:34:55 install libpng12-0:amd64 <none> 1.2.50-1ubuntu2
2014-11-25 03:34:55 status half-installed libpng12-0:amd64 1.2.50-1ubuntu2
2014-11-25 03:34:55 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2014-11-25 03:34:55 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2014-11-25 03:34:55 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu2
2014-11-25 03:34:55 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu2
